artist_count,in_spotify_playlists,in_spotify_charts,streams,in_apple_playlists,in_apple_charts,in_deezer_playlists,in_deezer_charts,in_shazam_charts,bpm,key,danceability_%,valence_%,energy_%,acousticness_%,instrumentalness_%,liveness_%,speechiness_%,mode_Major,mode_Minor,season,genre,num_followers
1.0,99.0,15.0,36912123.0,21.0,52.0,6.0,1.0,0.0,121.0,10.0,0.65,0.49,0.78,0.0,0.0,0.17,0.04,1.0,0.0,Summer,pop,92584265.0
1.0,41751.0,25.0,1205951614.0,101.0,32.0,36.0,0.0,666.0,112.0,10.0,0.64,0.54,0.81,0.36,0.0,0.11,0.06,1.0,0.0,Winter,new romantic,3156899.0
1.0,21164.0,36.0,1791000570.0,80.0,65.0,476.0,0.0,14.0,100.0,2.0,0.7,0.47,0.52,0.3,0.0,0.06,0.33,0.0,1.0,Winter,conscious hip hop,21910661.0
1.0,2988.0,59.0,201660859.0,74.0,102.0,145.0,18.0,925.0,150.0,6.0,0.55,0.3,0.78,0.24,0.0,0.12,0.08,0.0,1.0,Winter,europop,1001959.0
2.0,893.0,38.0,248088961.0,19.0,23.0,24.0,3.0,88.0,120.0,8.0,0.84,0.96,0.71,0.18,0.0,0.34,0.17,0.0,1.0,Winter,pop,12483564.0
3.0,1094.0,34.0,90839753.0,40.0,58.0,47.0,8.0,203.0,127.0,3.0,0.82,0.89,0.85,0.04,0.0,0.23,0.06,0.0,1.0,Spring,pop,12483564.0
1.0,7324.0,22.0,607123776.0,25.0,81.0,61.0,1.0,44.0,90.0,8.0,0.51,0.42,0.61,0.53,0.0,0.09,0.03,1.0,0.0,Summer,pop,92584265.0
2.0,201.0,11.0,55842345.0,19.0,117.0,8.0,1.0,74.0,128.0,1.0,0.75,0.79,0.63,0.33,0.0,0.15,0.04,0.0,1.0,Summer,pop,12483564.0
2.0,5120.0,48.0,211050784.0,161.0,115.0,246.0,9.0,638.0,143.0,1.0,0.64,0.31,0.87,0.04,0.04,0.08,0.04,1.0,0.0,Spring,pop,12483564.0
1.0,2346.0,27.0,342897938.0,69.0,12.0,38.0,8.0,64.0,139.0,11.0,0.74,0.68,0.68,0.03,0.0,0.26,0.04,1.0,0.0,Summer,pop,6363798.0
2.0,763.0,26.0,2762.0,21.0,110.0,21.0,9.0,71.0,162.0,2.0,0.49,0.78,0.64,0.19,0.0,0.11,0.04,1.0,0.0,Winter,pop,12483564.0
1.0,457.0,24.0,330346424.0,8.0,116.0,4.0,3.0,2.0,92.0,0.0,0.81,0.39,0.6,0.31,0.0,0.07,0.03,1.0,0.0,Summer,corridos tumbados,8991482.0
1.0,3430.0,38.0,601863821.0,45.0,69.0,52.0,4.0,3.0,95.0,8.0,0.87,0.57,0.55,0.1,0.0,0.29,0.07,1.0,0.0,Summer,colombian pop,8244846.0
3.0,6074.0,52.0,1953533826.0,201.0,44.0,36.0,2.0,0.0,146.0,5.0,0.63,0.88,0.93,0.03,0.0,0.1,0.08,1.0,0.0,Summer,pop,12483564.0
1.0,21915.0,34.0,2322580122.0,437.0,115.0,36.0,12.0,-1.0,95.0,0.0,0.55,0.56,0.82,0.12,0.0,0.34,0.05,1.0,0.0,Fall,pop,30142706.0
