in_spotify_charts,bpm,key,mode,danceability_%,valence_%,energy_%,acousticness_%,instrumentalness_%,liveness_%,speechiness_%,season,genre,num_followers
0,78,8.0,0,71,80,65,51,0,22,32,Spring,hip hop,13111657.0
26,120,8.0,0,70,70,79,7,0,18,10,Fall,pop,12483564.0
0,96,6.0,1,48,50,80,40,0,37,20,Spring,hip hop,13111657.0
0,106,7.0,0,73,22,86,31,0,12,4,Spring,hip hop,9200502.0
17,170,2.0,1,78,75,46,62,0,12,35,Winter,reggaeton,257630.0
0,134,11.0,1,67,11,76,8,47,30,7,Spring,pop,12483564.0
8,115,10.0,0,71,90,73,30,0,11,5,Spring,pop,30142706.0
4,130,6.0,0,74,79,87,45,0,30,3,Winter,pop,12483564.0
5,118,-1.0,0,65,63,79,3,0,10,3,Spring,pop,12483564.0
12,110,7.0,0,59,22,38,42,0,12,3,Spring,classic oklahoma country,2564712.0
0,100,9.0,0,72,42,66,18,4,19,4,Spring,alt z,18710239.0
6,142,7.0,1,70,76,79,26,0,11,7,Spring,pop,12483564.0
4,140,-1.0,0,64,18,37,72,0,12,7,Fall,pop,92584265.0
4,116,7.0,0,90,96,73,62,0,9,4,Winter,singer-songwriter pop,147440.0
9,120,9.0,0,73,64,85,25,0,61,3,Spring,contemporary country,7652211.0
37,92,5.0,1,76,46,79,31,0,7,6,Spring,pop,12483564.0
2,110,8.0,1,81,64,79,5,0,31,3,Fall,latin viral pop,3921167.0
20,120,10.0,0,71,57,97,1,0,13,11,Winter,drift phonk,1005852.0
17,80,8.0,0,63,40,61,9,0,56,6,Summer,pop,12483564.0
26,115,5.0,1,95,43,69,47,0,9,31,Fall,pop,12483564.0
7,76,10.0,0,58,46,67,65,0,13,4,Fall,chicago indie,570692.0
7,172,6.0,0,60,77,78,45,0,12,6,Winter,afrofuturism,3854647.0
16,99,10.0,0,40,45,56,69,0,9,5,Fall,pop,14316872.0
4,136,-1.0,1,36,12,57,9,0,14,8,Spring,canadian contemporary r&b,74471480.0
0,150,8.0,1,90,64,14,67,35,11,10,Spring,edmonton indie,4816992.0
0,92,10.0,1,71,41,31,79,0,10,5,Spring,comedy rock,112164.0
16,95,1.0,0,77,72,87,17,0,7,5,Winter,pop,12483564.0
30,102,11.0,1,83,58,83,21,0,10,5,Summer,pop,12483564.0
0,145,-1.0,1,70,34,55,43,0,16,6,Winter,pop,15719257.0
5,110,9.0,0,50,24,86,0,0,64,4,Spring,alternative metal,24715494.0
0,95,-1.0,0,64,30,77,46,0,38,6,Winter,pop,12483564.0
2,94,11.0,1,68,81,82,53,0,9,13,Spring,pop,12483564.0
4,142,7.0,0,61,92,91,0,0,26,3,Winter,contemporary country,7652211.0
10,145,6.0,1,59,20,74,1,0,15,5,Summer,pop,12483564.0
4,121,6.0,1,64,67,80,0,0,36,3,Spring,contemporary country,7652211.0
6,140,3.0,1,66,43,76,49,0,12,3,Spring,contemporary country,7652211.0
0,137,1.0,1,84,44,67,8,0,11,6,Winter,pop,12483564.0
0,104,8.0,0,56,72,85,0,0,15,3,Winter,contemporary country,7652211.0
2,92,5.0,0,57,68,76,7,0,33,3,Winter,pop,9850471.0
20,146,2.0,1,74,51,45,86,0,21,38,Winter,melodic drill,4325725.0
4,120,2.0,0,56,20,43,89,0,12,4,Winter,indonesian pop,9708933.0
0,144,2.0,0,68,83,81,9,0,8,4,Winter,contemporary country,7652211.0
0,94,9.0,0,59,44,56,80,0,6,3,Fall,pop,2.0
14,94,8.0,0,73,65,79,5,2,11,6,Fall,bedroom r&b,304686.0
15,113,7.0,1,79,66,74,8,0,11,5,Winter,pop,12483564.0
0,148,4.0,0,50,49,76,12,0,12,3,Spring,pop,12483564.0
0,98,1.0,0,70,29,73,12,0,11,26,Spring,hip pop,30039647.0
6,140,11.0,0,58,26,38,91,0,10,4,Spring,balochi pop,592468.0
6,100,7.0,0,36,28,28,81,0,18,3,Winter,pop,15719257.0
11,140,6.0,0,86,68,79,39,0,11,29,Winter,pop,12483564.0
17,100,4.0,1,59,78,94,27,0,29,23,Summer,k-pop,6084241.0
0,100,9.0,1,59,49,65,2,0,13,3,Winter,art pop,28462206.0
